DNI,firstname,lastname,infected
a159a53b-cb90-4b07-80fd-45f9764f1238,Valera,Rebecka,false
1c49cb0f-06fa-46ed-9bb6-6295b8a71b76,Ana,Cimbura,false
3d188cbc-e866-4e30-bde7-802629991e0e,Winifred,Gunn,false
c153889f-4ff5-40a8-9f55-bbdcc49b3f19,Kimberley,Virgin,false
37586288-e435-4446-9309-93cbf8466fe6,Lacie,Ophelia,false
805f7d8a-b8e9-405e-bc26-0140bd9ddcef,Sue,Fillbert,false
e5fe6ff7-d1e9-4934-a422-4342fcacfdcd,Brianna,Bluh,false
8f5bce86-15ee-48d6-b266-5c6ff4d1a2a7,Gilligan,Vilma,false
12a416ac-931a-4d25-9e9e-2eba783e9f6e,Ileana,Lorenz,false
f3beb7d7-115e-435a-a308-96c4145dcc61,Lindie,Gaulin,false
97304b60-7937-4367-b2ba-2f0c9bcbe3e1,Mady,Kravits,false
9fde976f-bd52-456b-bf37-f8f445a89d84,Feliza,Atonsah,false
5747c6dc-e611-4f63-8051-3ddea9ac9ad7,Aigneis,Vanni,false
2bb653e2-96e4-42d5-917a-7b4c10dba2c0,Sissy,Chesna,false
edf687d3-4e58-4e4c-bcb1-0ba563e79b77,Noelle,Jacqui,false
c3b3cde7-453e-4802-8922-fa55fa0a009b,Consuela,Hewitt,false
5c91cca4-8873-485f-b99e-1da2a3957215,Norine,Ingra,false
d65419f7-7c21-4b36-8b3c-026f37137e46,Catharine,Eno,false
0bb8f8e1-f05f-4905-a575-baafb41d0299,Nikki,Saunderson,false
9eb163ef-4f31-4160-a035-004caedc33c8,Deedee,Isidore,false
cf219c06-4e7a-44d4-83d7-4f8f50b1c167,Cissiee,Dichy,false
edfb775e-74b4-41f6-842b-e4e97f508e53,Fernande,Bivins,false
eab2d09a-207d-48f0-bf4e-57f812f7e654,Dede,Daniele,false
c413d42b-41c5-45b7-827d-64583b0bdc1b,Damaris,Lubin,false
fe9fc8d1-aa8e-48be-bc91-7ac93ce02fa1,Barbi,Milde,false
cfad407a-fc29-49ff-9173-f292f4a76123,Karlee,Naashom,false
5bff4b4d-a2fa-4114-aa1a-99f0748b5611,Violet,Leler,false
24cf8086-e237-446b-84c6-d7a4fe9f062e,Meriel,Madox,false
4b47383d-56f3-408c-86a1-b58d13b594c3,Gretal,Billye,false
caabbecd-ca64-4400-9c21-773faf822082,Trixi,Koehler,false
da7aa31d-89de-4030-911a-3ab7a4581967,Nariko,Lasley,false
78a8dc61-32ed-4518-8abb-1ead844ac8b6,Reeba,Kalinda,false
5ed49cb4-5fa3-4395-98fb-01b6df50f9bd,Valeda,Donell,false
c6b3f9b5-2c2c-4e93-95d2-7b54d26bac8d,Aryn,Atcliffe,false
764b4364-7e4b-434f-a485-4673c4fc9c93,Jasmina,Hartnett,false
dd863d65-b8f0-4e94-8c7d-6d3ced510c9a,Anestassia,Francyne,false
bfee2643-a016-46c8-944f-dfd6d6908b93,Marita,Burkle,false
cd4f15e3-e4d8-45cd-a8fa-c5552902f043,Sibella,Francyne,false
a5634cd9-4556-4d3f-8a01-2e5490e88114,Courtnay,Keelia,false
fd84cf03-bac7-481e-87ac-625244f33d56,Elyssa,Dash,false
4405d52e-4137-48ca-880e-129cae343a7b,Aili,Hubert,false
d4e23c93-92e1-45c1-a5a5-e14910859369,Kellen,Darian,false
1a73a0ee-8d1f-40fc-af22-62d46e605ce2,Deane,Herrera,false
d37dc145-0ea4-47f2-9e2d-cf0531904be6,Florie,Natalia,false
2fc74246-317a-4a76-b9f7-810a4a165f51,Phylis,Nunci,false
4f2ac9f8-219f-4caf-ae8b-ff84bd7b57ce,Steffane,Harned,false
0e256e9d-76e7-48a7-b3ba-1d88a5670498,Lolita,Gaynor,false
6c33d61d-ca5d-4bda-b243-054312cc4ddd,Leeanne,Saree,false
b9ffbab8-8319-4fc0-9acf-c59f1da73985,Eolanda,Caitlin,false
ebbefee9-26c6-418e-8499-94fc574fca24,Louella,Radu,false
622cabc9-8d24-4d90-a820-eaf260e276d2,Emmey,Carri,false
bf0f70b0-1ac2-4e87-861a-f21b9f7b1aba,Beverley,Cavan,false
3116479e-bb23-45b0-aa71-d57fca02acb5,Hallie,Fancie,false
5d8c2da9-cc0e-4c4e-941d-b92a4dc6111e,Elise,Holbrook,false
b42607ea-2232-4884-958a-a540e2e6ea28,Candy,Brodench,false
80fc283c-1a89-4025-98d0-357e680426c6,Flo,Screens,false
0482de2c-bb72-45c0-a889-f6a94d0bdccb,Melanie,Seligman,false
1805c5b0-5a6a-4766-a4d4-08cf324c94eb,Carilyn,Hillel,false
85a53602-66c6-4638-ba33-9d3d8c35fd13,Magdalena,Kellby,false
57d153ed-2640-461c-ba5a-c9d1b5e027df,Clary,Kermit,false
2dcb3954-3801-41eb-98fe-5a7792423f59,Andeee,Ezar,false
58bff351-c87b-4545-8d22-04f3828cb608,Morganica,Moseley,false
87fc580d-761c-4183-af59-df46376295fc,Ardenia,Eben,false
4edb1225-e330-4d86-a279-388b3c74c500,Nessie,Wilkinson,false
f7c21ff9-a831-4785-8f97-dc9d27f07c54,Devina,Nerita,false
1eb7c0c0-d86b-4fa6-bf4b-ee7d36df0894,Jacquetta,Kazimir,false
5f5e3b5e-c3f8-48e7-b89c-22775ccea19f,Gusella,Newell,false
066e5c06-ad6c-4f9c-a4ca-1f4d5ebfef10,Chickie,Merell,false
c8bf8d64-a722-49c6-a9b0-8f4e9006e757,Consuela,Aprile,false
d5feb5f4-f411-43c9-b763-35c2d800e5df,Jaime,Frodi,false
8abdfa38-8b8a-43b2-b4e0-3b350f5d8950,Cathyleen,Argus,false
999bc71f-fa01-4c1f-9077-cf71e9d301a7,Jaime,Gabrielli,false
556adf92-4c0d-4efb-852d-13e8081bb979,Catrina,Kunin,false
8e993611-a5b1-4a15-90d7-34779a601b7f,Neila,Audly,false
141a1a16-10dc-492b-ba8e-c237265e1892,Gloria,Eiser,false
a42061ee-c443-42d5-991c-bd149c638d50,Gaylene,Milson,false
2b870ea0-0d76-47eb-94cb-2102ebe70613,Collen,Kiersten,false
81820f5f-9c8d-4bfb-8ea9-27f851d8e989,Nollie,Bashemeth,false
f15d7bcb-9699-40c3-9d85-252608495000,Marjie,Alrich,false
1306efe3-4265-4915-afdf-884cfb0df6e8,Misha,Libna,false
b3247d59-9479-4b18-accf-68487339f111,Ronna,Marisa,false
dbb95460-e9f4-4ff6-a138-cd45ad697330,Misha,Sekofski,false
e1bf50b7-7cd9-4af1-b30a-44e78257b280,Laurene,McAdams,false
7e05ff7d-4012-4517-8302-b0e2b4ba6978,Edyth,Sekofski,false
d16a7fb7-23c1-47f8-8179-ee6d491f9532,Darlleen,Ephrem,false
9f402fb3-367e-455b-b19e-099db8a8889e,Ingrid,Bronk,false
4b830abf-9008-4a03-9dc0-3a86a93f2c89,Ronna,Vanni,false
d0b2b22f-81c9-4a65-99ef-cef08711158f,Cindelyn,Jerald,false
fe4865e1-0090-497a-b743-88855f17ce70,Fernande,Belanger,false
cfcfc661-220b-4cc6-9ab1-eae21a57ff78,Roslyn,Curren,false
5653c917-f735-4135-a98f-6fe8e23e9bfe,Mallory,Lory,false
bdef0818-d6f3-4b1f-b057-18157eda9d25,Angela,Franza,false
fe294627-90aa-461e-b376-32c86c1d12bd,Dacia,Vittoria,false
703672bd-c845-482b-a240-6c1ccfda02c7,Odessa,Noman,false
dcf19215-9f88-4c05-b28d-d72bd8c5a801,Georgina,Amasa,false
d07ba0f4-7937-498a-9578-f7d5118da395,Janis,Westphal,false
4704385c-ff22-4415-8168-e7824d0f1bc2,Wanda,Lail,false
0a461381-3ef3-4e4d-b170-dd1fbad16044,Winifred,Lewes,false
5ce2b2a4-c7d0-483a-b8c6-5e9df81e574d,Fred,Bohlin,false
e3c4530d-03d0-4968-b5c6-736cf8cda7f3,Frieda,Marisa,false
609f2329-f47b-4385-9663-143741b0c1c5,Paule,Ailyn,false
cc5b4f78-ca65-4f81-8280-cb22419f2776,Sashenka,Frodi,false
975816fd-c807-4cf3-8677-d778359ae8ed,Rosaline,Trey,false
c12cea52-7f6f-43b2-8b57-df44bf00eb2d,Luci,Dahlia,false
c26827a7-ad99-4fd8-a06a-15c82bf46a78,Rani,Madelene,false
cc73695f-10e0-46ca-b15a-839b1fd6ad41,Ira,Buckler,false
7a6c8d35-bc59-4348-8543-294930a9a6d7,Jsandye,Waite,false
b42624f7-5113-4f01-97b3-b09454a88f0a,Merle,Bergman,false
3bb526b3-cdd6-49b2-81ad-63f4e8988e06,Tierney,Franza,false
0226dda3-a84b-4036-968e-d75fd986f496,Elie,Pulsifer,false
f8a2d729-68e9-4a7a-93d6-c2d589c5d93f,Kara-Lynn,Oster,false
6ab92946-3c62-45a0-8655-e13f2768e965,Shell,Ambrosia,false
5fcaf84c-fbe5-47af-92c9-6be3f6f4f31e,Laurene,Dielu,false
374e0c80-1e51-42d6-adb8-3ba0ea55dee9,Tabbatha,Bonilla,false
acdc12ea-e4ae-418d-81be-2d76c83c46b7,Amalie,Janith,false
b508dc78-2277-4463-bb2f-07262dc58ae9,Raina,Medrek,false
f2661dd5-5170-4489-b6db-eac42111f677,Allis,Friede,false
cbcd0463-a357-4f3c-aae2-b0618351e2e9,Celisse,Boehike,false
781558a6-08f5-4fba-a890-c22b19da6753,Merry,Dominy,false
1e892103-3d8f-4918-96db-056ef471be57,Gusty,Lipson,false
8163e1bf-3792-441a-b0dc-91deef758e74,Gavrielle,Chick,false
91a44279-bac9-4a4c-abf5-122c20b7fc55,Rosene,Ader,false
d31afef4-74e5-4401-99de-1bae32d8dc9b,Lolita,Burkle,false
abd6506b-d323-493c-891c-0b621c35b60e,Sue,Jacqui,false
97c8eed7-76da-4690-b402-69df03b06bef,Miquela,Bigner,false
f66ed8c8-45e0-499e-8921-96a29334f471,Netty,Genna,false
7ba4b3dc-f5f9-40e3-9e81-6a47bce905d3,Monika,Eliathas,false
c9672403-b0d6-4e5c-9f61-24bfc5e71f8b,Adore,Ader,false
3f38f9bb-ae51-4da4-93a9-0ead2e563596,Brynna,Ajay,false
883bb67e-0ad7-4637-80b8-80ea4388b163,Barbara,Gower,false
0496481d-b793-4ef2-bc23-9d3866aa0f6f,Jackie,Frendel,false
15d9fa26-9134-41aa-a325-432e9844f721,Eolanda,Love,false
8c429e0a-2309-4525-b3ed-e797363e3189,Thalia,Wu,false
dc034aa4-78b9-4289-af86-cbf98586b7ce,Ethel,Natica,false
8dcb48c2-5556-451a-9a37-9b75768474de,Rhoda,Sikorski,false
3f349b28-e9ce-4782-a113-29ee7fe0dfda,Kittie,Ariella,false
197ef60e-57a0-49d5-8e02-440147354a83,Wynne,Goerke,false
316f3753-3720-4128-a84c-d3cfee7e677e,Britni,Ivens,false
e6855d92-5128-4ba0-9a41-8c92847dce30,Ida,Pitt,false
b9585068-9f6c-4d2f-ad76-3d5d9cfa8235,Tomasina,Bakerman,false
fe0f51bb-887b-4808-af58-8eec12eccf5b,Tierney,Anastatius,false
0dd0fc38-4e88-4be2-97ad-c51421009627,Babita,Stacy,false
8b657c4a-3b4e-4022-8067-5fa04a341c62,Debee,Masao,false
5373810e-0687-48b7-8da3-ae14343ef8e1,Kore,Norrie,false
181182ae-fb6f-49c9-a979-eb6ad7d514f9,Cassandra,Suzetta,false
0b0bf08f-a0d1-41a6-98ab-2a835959c394,Sherrie,Liebermann,false
d50f45cd-e88b-4161-a367-140bd65ebcea,Gerianna,Hashim,false
f2b9eeb7-f930-4457-9b2c-aab7287aa024,Raf,Lilas,false
f00a6663-0bf1-4510-bfc7-be770f357272,Jaclyn,Anselmi,false
4c86eea6-dfac-4c45-a8fb-3085db4c8606,Amalie,Gregrory,false
27b1e951-3b6d-422a-9473-cd18b26a128e,Berta,Santoro,false
4c83d87f-f1de-4f02-868d-a5c90dbb04cb,Cissiee,Byrne,false
19a3319c-40a8-4c02-b221-72c5eb43ffd3,Vonny,Stevy,false
38f29c67-8849-4c9b-9a8b-bf186ebed99f,Hayley,Zrike,false
75ad9825-dc3d-45c1-b80b-85a15727ac0d,Marti,Penelopa,false
cfe47a35-73e4-40fa-a4da-800e12b7e268,Robbi,Diann,false
47386bef-105b-482c-8e1f-6a4edd9b3735,Jaclyn,Earlie,false
75f0a79e-f082-4191-9c10-8c4afaf22f8a,Nita,Milde,false
7e9276a3-4a47-484b-84d7-de704264f23a,Gerrie,Zenas,false
68f311ef-1360-41c0-92d6-9f658d4a6f2a,Feliza,Riva,false
dd2dc4ed-3e31-418e-b1fe-49183e58ca4a,Lanna,Diann,false
360fcebf-9a80-4e5b-b36d-9397aa24c1d8,Zaria,Deny,false
04911166-b538-4c9d-bd16-519bd7aa2356,Sophia,Bertold,false
f1b065e7-9c6b-415d-9f67-aecab7068f64,Frieda,Pierette,false
fa3ffbca-c4b9-4ac6-b38d-412b3c91bee7,Robinia,Kinnard,false
78eacd10-489e-4620-9c1f-edbe68779779,Aaren,Hilbert,false
be663979-f052-4b6b-a300-33444ad401c4,Marcy,Lasley,false
31077352-4527-4efb-9471-8ba3164b953d,Lacie,O'Neill,false
6c93ba82-aa32-4c76-b19d-3915edcb056b,Emilia,Felizio,false
f2911e01-9c52-4e4b-a4a4-12fbe05e1d77,Dorice,Edee,false
b6f63882-5cf9-4d46-8b09-52a215a459ae,Kimberley,Pacorro,false
2449546d-3317-4032-8e48-04c20f341972,Tori,Syd,false
70341dc6-9040-466b-a5e1-7ba6d23f1e93,Genevra,Wind,false
5c0eec93-ae04-46cc-823d-3b57924bb7c7,Jaclyn,Pozzy,false
99d0cdd5-b3f3-471c-9d45-271fd01ae8c9,Josephine,Nickola,false
5aeb87ed-4f3a-4646-8396-0e6576cf00cb,Hope,McCutcheon,false
a8bd7bbe-8b4a-442e-bdf9-5f2ed107797a,Constance,Casimir,false
e38012f7-e262-4eba-9ab5-937c1b2bef3c,Jerry,Brittani,false
c755f053-c322-428d-b185-092c94a55c38,Corina,Xerxes,false
d55a40cc-14b7-403a-a0bc-06447e5a8fff,Hallie,Jaylene,false
0bd0917d-6cd6-4bae-ab25-02ff35524d23,Emilia,Daveta,false
d4f28463-b892-4218-99c2-9f399ebbbd69,Aaren,Gherardo,false
37d05b95-9ce9-4240-a3df-b759fbb44e42,Damaris,Truc,false
412b09ed-a986-4d7a-b68e-0e41b7438e85,Meg,Hachmin,false
90e2410e-67bd-48bc-a3e6-117b90d116e7,Ira,Standing,false
caebdaf4-0c31-4e85-a245-da249dec786c,Mahalia,Chrystel,false
9bc17c64-aa27-4280-be47-c8c423c26037,Ethel,Minetta,false
36f958f8-b8ca-4fd0-9bcc-a87ffa2297ef,Nickie,Martsen,false
eac437bd-3706-4b1c-bba7-6b5d77020afb,Loree,Seessel,false
250d11f9-dc74-4852-ae84-4afde8ccbb4a,Viviene,Sawtelle,false
288dfc75-63ce-45b1-8e84-6a757089e79d,Concettina,Kolnick,false
76b092ef-c718-45fd-84c4-dbb9320e28ce,Jessamyn,Deny,false
29dbfb8e-de1b-4a27-8783-a98a01bbc2a8,Heddie,Maisey,false
ec0cc938-62b2-43df-b50c-b8ae893317ec,Quintina,Vastah,false
b705cf09-b36c-44a7-a423-9f5c6c61fdd7,Alyda,Belldas,false
1883ffed-08a1-4d59-822c-fbe59d18283f,Veda,Bohlin,false
df8cbe5b-31ee-493d-bbab-517b11bac82f,Lindie,Argus,false
ec20dd06-3f96-41ff-8ff3-1ded629ac2d9,Tierney,Durante,false
0fdb1be0-dec0-40e2-995d-382da347cd66,Danny,Horan,false
dd60331e-1f0d-4f48-ba2b-c2b3bcf5314f,Lanae,Noelyn,false
915921cf-9105-43fa-aeb9-9c24af1ac1b5,Bernardine,Bury,false
c3de0247-002c-4c2e-8fbf-50c78629832a,Rhoda,Brian,false
889905ad-c945-4488-81fb-87c14d558472,Robinia,Hylan,false
27e9933d-ec9a-4491-bd0c-9bc3dc500266,Ninnetta,Tengdin,false
fe2f5def-825c-4658-9c48-3318d10bacdc,Vere,Henrie,false
535c78bd-651c-4056-be38-d3d97f255796,Feliza,Baptlsta,false
f816651c-8e75-4098-b9e2-fe19e9435c02,Paulita,Fontana,false
34a85ced-8acb-41db-8b1c-b14e6c17161e,Belinda,Munn,false
415002bd-8868-4939-9202-561350814985,Corina,Zachary,false
0715ebbf-3fbb-4039-a7e4-cdb499fc31d6,Feliza,Fredi,false
e3c29c6f-0243-4011-8346-605054bf0428,Feliza,Helve,false
94f7e194-0bc1-4ccc-8a25-f5ba3681739c,Jordan,Israeli,false
e55582d8-b436-491c-bbea-10c8f2ecc881,Marguerite,Catie,false
5ab17af2-8e16-4c82-9de7-e7621ad39988,Cordi,Vacuva,false
3e096235-07be-4d34-9bf7-7f1b045cfa0c,Mignon,Niccolo,false
edb7d397-a4ce-422c-822e-3baed7120473,Heida,Grosz,false
e9557955-0ac3-4686-a8ba-478064e14d71,Romona,Capello,false
3698b806-74e1-4723-9581-68fc437c2b8b,Winifred,Abernon,false
73d5f708-5287-4ec6-beaa-faaf10fd9ca5,Tamqrah,Montgomery,false
067665c2-6a29-483b-ba23-b31865e9baf3,Dari,Deny,false
8e9a29e8-30f7-4363-b271-afb338de97b0,Sallie,Cordi,false
ce85a519-f04c-44c9-8a01-1136972cc8ae,Therine,Havens,false
43b59712-7eb1-46c2-ac8a-4bef98890157,Merci,Guthrie,false
